Year,annual_Mean_saurashtra,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1945,537.8333333333,-437.8739654354,163.9534690612,167.6953122507,-434.4216472629,392.7092593599,-435.5782496961,72.8632763814,-166.7606845526,312.2996715309,512.234276896,-511.0215031616,-317.0844159429,-367.4835126334,315.4937128314,-532.8748796851,511.3272616749
1946,377.5833333333,-377.5698284671,-1.5967486336,189.7128011723,-266.4266014679,305.8463154895,-327.2625593111,84.4649115284,-144.8636071278,-3.193468712,377.5799571017,-326.4632087731,-267.5556757786,-221.4208773186,188.33053625,-368.0147447204,348.688555793
1947,409.3333333333,-329.1883778176,-128.0742007414,274.7217532552,-239.9257575525,359.022066394,-374.1701142374,126.9435268139,-186.2044141344,-243.2874630712,388.7811426525,-303.4497257638,-331.6465115761,-196.6136659033,165.983443118,-389.1517940056,364.5294143613
1948,166.6666666667,-50.2616166316,-98.4907144672,135.0910899116,-75.374593531,155.0585243417,-158.5764160109,65.6753534917,-87.2219740737,-158.9073556239,134.4520618716,-97.6123721887,-148.6487417634,-61.1116339724,51.2961798083,-153.1813491308,142.02149491
1949,446.5,141.157943656,-362.2080009072,408.3509215698,-137.1794036926,432.6385026223,-436.8586364494,212.0036282176,-262.7847467522,-423.5996753337,261.0892837303,-180.5873053486,-424.9047672156,-110.3910143478,92.286411565,-392.9589184922,360.9798150512
1950,461,374.8937358079,-438.945903391,451.1542614613,-71.2984520756,457.44741729,-458.5319588282,254.3582057412,-299.7102046921,-268.2828485983,140.881133926,-94.7672536552,-455.4531048655,-57.1214531918,47.6386684656,-384.4774416947,350.2781654677
1951,252.0833333333,252.0773930636,-252.0818482615,252.082673301,0.4326441093,252.0830957216,-252.0831683252,157.3646004786,-178.4027316406,1.7305636933,-0.8652869442,0.5768585921,-252.0829620651,0.3461153486,-0.2884294849,-196.9324489784,178.0968059444
1952,325.5833333333,262.143977192,-309.3171647774,318.320080133,51.4586891545,322.9623062442,-323.762428102,225.2184686404,-247.7484596201,193.0933509119,-101.6238088171,68.3873784302,-321.4910733674,41.2293062017,-34.3860014236,-235.119434177,211.2467933491
1953,549,166.3952147707,-443.1433023916,501.0718054281,170.4630854276,531.5816792344,-536.88426182,413.7574453827,-444.4014142078,523.1764831311,-324.0756293606,224.3391312389,-521.86524746,137.19299655,-114.7008692643,-360.840375222,322.3482325841
1954,438.1666666667,-137.8611853557,-256.499368155,353.9762651663,199.5000684602,407.2061384525,-416.5877026299,354.7015792641,-373.7675131514,415.9138388538,-355.2437218501,258.245680461,-390.1150477259,161.7812986239,-135.81131689,-257.2485518819,228.6654190961
1955,284.75,-231.2997559346,-87.2351907134,190.1402397036,167.6936819686,249.3747778434,-260.0240332696,244.5598661974,-253.8043916489,166.0812614493,-271.0582668011,211.9652135268,-230.1334211448,137.4582943135,-116.0606075385,-145.8527831256,129.0964495241
1956,591.3333333333,-591.3251142061,1.5588848439,294.7661868841,418.6865962042,478.0319338648,-511.8496766411,532.966022904,-546.4697849225,-3.1177588541,-591.3312785479,512.6285264993,-417.5842972024,348.0812855018,-296.1165642673,-256.1685568937,225.9333646849
