Year,annual_mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1968,618.6666666667,-190.3251062935,-364.0059376926,-565.0584272912,280.6689369394,-331.6496550301,128.7742807402,500.4365063281,-527.4414470335,-588.6635697568,500.2480602352,-251.907558822,551.3378204711,522.2613816499,-605.116211206,363.7468179636,-323.3480545723
1969,899.9166666667,279.0578242835,-728.3470306046,-727.8483115443,277.847417647,-573.7853798447,278.2509484086,677.6058434902,-727.9730519997,-855.5563906901,528.5457501049,-529.2323141368,855.9502435606,693.267873784,-855.8191495019,592.1995675551,-529.0607172214
1970,857.6666666667,694.2765403769,-815.7971430574,-573.718264759,133.99644538,-625.30755105,348.9506264284,592.6293942312,-652.1182391888,-503.5595263656,264.7019691854,-637.5260495016,847.134619607,587.0115652276,-783.4702109375,619.9858967786,-557.0762185092
1971,625.75,625.749923497,-625.7499808743,-312.7856726263,-0.0773560942,-506.2787567716,312.9196604994,390.1141828654,-442.4447179728,0.309424365,-0.1547121872,-541.966959786,625.7499952186,367.7565539074,-541.889609213,489.2586093543,-442.4994169917
1972,506.0833333333,409.3776698893,-481.3000914438,-156.3601204568,-79.1908633185,-443.4927852094,297.4803265063,278.7891639015,-328.6663689823,297.5403563783,-156.4306947308,-481.3230235595,499.8491246813,243.7918984399,-409.4212935589,422.3706220476,-384.8360146579
1973,840.4166666667,259.8169882471,-679.9465790844,-87.887184801,-259.6745425582,-781.3908327333,562.333672617,398.2621953391,-493.9966397336,799.2467117413,-493.936051734,-835.808600314,799.2930035715,309.4002910981,-624.5646597849,740.0590499243,-679.9025618006
1974,717.1666666667,-221.3021591477,-421.6737459077,74.8547024621,-325.5131894442,-694.6191062388,532.9218166049,281.9078910927,-374.753798345,682.1681479917,-580.1028182917,-713.2494663841,639.0377072409,178.4161568518,-479.919123566,659.4360990403,-611.4635053736
1975,967.5,-782.2803383681,-299.3326098414,298.7348049589,-568.5296606064,-959.8520541054,782.6500411415,299.0764232056,-439.3198170828,569.2922994409,-920.0305639953,-920.2248455167,782.8347686522,121.409572232,-568.7839335821,920.1138750625,-862.0060024839
1976,765.3333333333,-765.3328718477,-0.4202322547,382.4240198164,-541.023794929,-765.3333148739,662.7280592158,170.4197420751,-292.9774451433,0.8404643827,-765.3332179619,-662.9381420453,541.3209440172,0.168092909,-382.7879708652,746.1181023284,-707.0355915711
1977,673.9166666667,-545.7706690544,207.7976462302,450.7017149455,-545.0697068723,-668.6265376739,615.5887714246,90.5971898106,-208.3652006151,-395.3454823457,-641.080191421,-501.0305756701,396.3113526778,-84.2747099041,-274.2519609904,667.7992384015,-640.8959484844
1978,1054.1666666667,-327.4946161514,618.8834515689,852.4802092199,-939.0616769698,-1021.1390026194,1002.4778256061,47.5560613615,-246.3126502085,-1002.0053081212,-853.3760217427,-620.1168067385,478.9890687248,-261.8062230749,-326.0453500347,1053.0934346671,-1024.9865557452
1979,676.0833333333,207.6002456082,546.5545442418,617.4444604023,-642.8861064491,-628.7085619476,661.2611369754,-30.134203486,-105.9341583468,-643.4211774837,-397.9532683366,-275.4106242134,209.2513506428,-248.6246523272,-140.7919825028,675.4114326774,-667.7324521891
1980,700,565.334225145,665.4825157739,684.5880201508,-691.3167729202,-613.5746073576,696.136342287,-93.7281985766,-55.1283001544,-412.791974098,-217.10140764,-146.0795764848,109.9141459465,-336.9364943219,-73.4451696656,693.6966374371,-697.8258167495
1981,932.6666666667,932.6632901726,932.6658225428,932.6662915005,-932.6664556357,-754.8380999664,932.6665728751,-207.1883113161,-0.3137049407,-2.5096365447,-1.254819408,-0.8365464122,0.627409846,-547.801564392,-0.4182732482,909.3624771042,-932.6666139089
1982,774.5833333333,628.0183645864,737.0318509107,757.8179948233,-765.1378725854,-564.9659820884,770.3805970973,-239.0426904294,60.4826275512,453.4007874055,238.2506894448,160.2848308471,-120.5959212132,-529.898838799,80.5796245571,736.7753609004,-772.2183577475
1983,1105,344.9592118199,895.0432752278,1009.9656751718,-1051.2011746395,-704.9200359386,1080.9803585322,-433.8095552993,172.4060643124,1049.7752817535,648.014301902,448.3239174691,-340.5893281309,-850.9481435036,229.1428909384,1016.2845417161,-1091.4674291926
