Year,annual_Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1942,597.9166666667,480.281657202,567.7467515597,-182.9207568571,-590.3260054755,255.6330626421,-352.2307277011,-79.4364882486,-47.6370802908,356.1374313845,187.5312410539,-569.2489235727,-94.9712984917,-540.5146413947,483.1540693619,-592.6163890853,596.0159803723
1943,708.3333333333,212.5359916467,571.0877509313,-71.8302140428,-673.1480525687,380.6692661537,-474.7927843618,-30.8276445927,-111.6308810506,675.6956144344,419.0404417802,-704.681865427,-220.471790563,-597.349998675,525.6500005032,-707.6621845485,699.4817063419
1944,718.3333333333,-228.1812972134,419.5786850795,77.251704327,-639.2965404359,458.8889106323,-534.5536699213,33.1602371532,-168.4855526418,681.1285292658,583.0578914693,-714.1673136992,-327.5709253955,-552.6515588293,479.8490926858,-717.5675413853,698.2946343262
1945,483.9166666667,-393.9780163129,147.5174767336,150.8842079702,-390.8717858159,353.3409775493,-391.9124412745,65.5588853342,-150.0432747439,280.9922827053,460.883862091,-459.7926663867,-285.2973664984,-330.6440591668,283.8661280465,-479.455287625,460.0677732486
1946,771.0833333333,-771.0557543161,-3.2608066888,387.4227652278,-544.0841631832,624.5852918174,-668.3205608709,172.4903611503,-295.8338019761,-6.5215550634,771.0764385482,-666.6881639324,-546.3899068593,-452.175541344,384.5999673188,-751.5428013458,712.075746359
1947,632.25,-508.4593286853,-197.8214497201,424.3310142401,-370.5856519851,554.5399873232,-577.9374301139,196.0750280817,-287.6084873856,-375.7780908634,600.5054009171,-468.7038007676,-512.2561244561,-303.6864583079,256.3754851255,-601.0779033227,563.0465526791
1948,669.75,-201.976306434,-395.7849360864,542.8635448095,-302.8928041041,623.1026800669,-637.2393277396,263.9164080064,-350.5015028151,-638.5692085743,540.295610631,-392.2553176401,-597.3449687759,-245.5771011179,206.1336985598,-615.5592514819,570.7133772958
1949,660.5,208.8125907833,-535.8082521819,604.0667048082,-202.9272029989,639.9949182128,-646.237691769,313.6134298717,-388.7330912202,-626.6239318206,386.2250210613,-267.1397876434,-628.5545324656,-163.2995856141,136.5177487988,-581.2975714762,533.9914173377
1950,550.0833333333,447.3379519283,-523.7675177664,538.3350108289,-85.0761175255,545.8442519036,-547.1383695272,303.5102162143,-357.6260052734,-320.1256477942,168.1049105289,-113.0800147104,-543.4645598729,-68.1595648082,56.8443330697,-458.7736067655,417.9656851505
1951,480.3333333333,480.3220144194,-480.3305035965,480.3320756718,0.8243836846,480.332880575,-480.3330189178,299.8510932756,-339.9382959261,3.2975104555,-1.648764941,1.0991778265,-480.3326258986,0.6595070643,-0.549589273,-375.2458300535,339.3553684178
