Year,Annual_Mean_eastup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1930,932.9166666667,762.1084145735,-889.1898415713,-292.2928455215,142.81716268,-816.2997513361,546.6482597659,-872.7927451673,708.3678487533,-538.0745964834,282.2674841192,885.9449189433,921.9201510915,-451.6505539829,755.9822663525,-329.4940529475,607.0819531143
1931,901.1666666667,901.087732768,-901.146932976,-454.0221339715,-2.9818907017,-727.6544236833,448.860639869,-811.182348369,636.1659298513,11.9272363218,-5.9637487547,778.4377065476,901.1617332305,-531.6205421212,781.4252920706,-392.5360605165,638.274447873
1932,658.6666666667,527.8272643421,-625.1015927663,-442.8375221252,-105.1384690359,-478.9808933894,266.6078235955,-564.8072419403,426.9605209147,394.0052750852,-207.580771024,487.5825127872,650.221254733,-452.127284673,602.2973071295,-338.872479304,501.5441070914
1933,804.1666666667,238.8461497844,-647.5940626257,-652.5637893309,-250.9088171856,-511.0322213499,246.894694682,-649.7327181917,471.6521602963,767.8779489678,-476.7661458512,469.9409842012,764.0214612407,-620.910699312,765.3280587537,-473.8474677458,651.328079746
1934,895.25,-287.0820478013,-521.7577786703,-819.3352392668,-408.8819579937,-477.841022298,184.3402961189,-673.1528740086,466.5945721963,847.971969071,-727.4897819881,360.7801660231,796.4220658214,-757.0604466681,876.0657610744,-590.201466208,764.0432367981
1935,737.9166666667,-602.1324714205,-223.8274120188,-722.3973997776,-435.5198211098,-312.5914182738,75.6700921498,-509.0344933425,334.0237059581,426.5647592166,-703.151688168,150.5423652634,595.6874116221,-668.4366927138,734.0265963155,-534.232993676,657.9887315164
1936,1274.8333333333,-1274.7469255556,7.4214390539,-1274.8237323727,-904.0633621779,-391.1208003407,-2.4738254385,-793.186670115,486.1429410307,-14.8426265943,-1274.8117312059,-4.9476415616,898.8155900658,-1213.3526063427,1274.8309330909,-998.0255177748,1178.5011958686
1937,804.4166666667,-645.3906262608,252.9063041291,-786.2012943931,-652.1227720904,-148.9426106071,-85.5942435167,-442.0640394136,247.4951989724,-480.163631636,-763.6259391501,-170.2166217082,470.979897376,-790.5076042371,799.8498603413,-672.0606807934,765.3968252461
1938,1247.6666666667,-372.4673805266,738.9035715192,-1137.9308052364,-1113.2334587086,-75.6005062452,-261.6426727853,-589.5019504733,289.5926729584,-1190.7729261093,-1005.3325932782,-511.64987404,563.3678882603,-1245.3741102844,1219.9242693253,-1099.6179161415,1213.5930927951
1939,803.0833333333,256.3149191227,652.221235437,-648.0223058157,-764.4379778972,52.1391015171,-249.5264784035,-314.5040221238,124.5701426134,-761.0817975178,-468.5619492904,-474.3521175699,246.1248021353,-801.3890156289,763.334380762,-738.9384685788,793.3631702108
1940,735.3333333333,599.3467455436,700.5122237813,-490.1423703293,-726.5759078255,139.2853438147,-300.2474713706,-226.1943262009,56.743400013,-426.0265129277,-223.6017339915,-548.1565177201,113.1484037829,-722.0212629206,671.2425545558,-699.6793822213,733.1407079586
1941,611.3333333333,611.3024579941,611.3256144498,-303.8912916612,-611.3314036094,190.0806933693,-306.5530689311,-135.1785954767,-0.7680184118,6.1440454737,3.0720615257,-530.4512487467,-1.5360356115,-581.0316466877,528.9174419258,-596.2006304671,611.3328509021
1942,864,694.015361933,820.4039470621,-264.3236804312,-853.0313623372,369.3942290555,-508.9795379519,-114.7871094302,-68.8364109345,514.6247928355,270.9859104177,-822.5746117911,-137.2351808727,-781.0530734467,698.1660475462,-856.3410065556,861.2534751916
1943,957.75,287.3736649407,772.1778260533,-97.1228999993,-910.1753609614,514.7096324594,-641.9757024318,-41.6826022711,-150.9380842253,913.619964317,566.5919761623,-952.8127858062,-298.1037986989,-807.6874746791,710.7406418569,-956.8425278842,945.7815589397
1944,901,-286.206053999,526.2743321438,96.896221251,-801.8647558228,575.5808470716,-670.486575312,41.5926315662,-211.33013865,854.3342991208,731.3250490217,-895.7745934705,-410.86970364,-693.1866188007,601.8710429373,-900.0394730229,875.8656132639
1945,834.1666666667,-679.1320722046,254.2879183922,260.0914278942,-673.7776090954,609.0826907644,-675.5714718714,113.0092030645,-258.6418426358,484.3693387085,794.463140956,-792.5821578321,-491.7903631218,-569.9581595074,489.323220552,-826.4762233728,793.0563819905
1946,896.5833333333,-896.5512656097,-3.7915291435,450.4789291134,-632.6382267035,726.2415599983,-777.0950950405,200.5645515634,-343.9831271437,-7.5829904817,896.5753163666,-775.1970124013,-635.3192486652,-525.7707391462,447.1966981934,-873.8624229633,827.971788077
1947,851.6666666667,-684.9155580814,-266.4736017055,571.5912700058,-499.1940639631,746.9880941667,-778.5054086944,264.1211001706,-387.4204219165,-506.1884919763,808.9053904538,-631.3632323507,-690.0299976198,-409.0781078038,345.348287595,-809.6765746617,758.4467863952
