Year,annual_Mean_bihar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1937,1122.4166666667,-900.5248466909,352.8845965311,-1097.0004386389,-909.9183276997,-207.8222337375,-119.4311474078,-616.8196982142,345.3343867149,-669.9807266658,-1065.5006499962,-237.5062341021,657.1665013734,-1103.0091082016,1116.0445218001,-937.7380409828,1067.971598388
1938,1250.0833333333,-373.1888308361,740.3347900319,-1140.1349191391,-1115.3897351113,-75.746940568,-262.1494612912,-590.6437856699,290.1535991884,-1193.0793925036,-1007.2798712106,-512.6409137372,564.459103112,-1247.7863363863,1222.2872003839,-1101.7478199331,1215.9437606879
1939,993.0833333333,316.9559916141,806.5290508148,-801.3367042031,-945.2949447547,64.4745950793,-308.5614862649,-388.9119468351,154.0419621795,-941.1447318688,-579.4181539581,-586.5782074381,304.355013702,-990.988160138,943.9302496151,-913.7625537049,981.0634948016
1940,939.3333333333,765.6206386862,894.8519703607,-626.1202174017,-928.1463772676,177.9266087352,-383.5436873628,-288.9463332883,72.4854493366,-544.2170051815,-285.6344906564,-700.2289514665,144.5386227834,-922.3281590709,857.4621571796,-893.7880775611,936.5324184167
1941,969.0833333333,969.0343898601,969.0710973877,-481.7273487906,-969.0802743421,301.3152103588,-485.9467882498,-214.2846083422,-1.2174599388,9.7395181044,4.8698205401,-840.8693527365,-2.4349179561,-921.0492120136,838.437967851,-945.0950288579,969.0825685852
1942,1059.25,850.8515881106,1005.8019455157,-324.056549186,-1045.8026279579,452.8713392674,-624.0006661754,-140.7271361851,-84.3923244008,630.9216571886,332.2243351967,-1008.4631453006,-168.2481080318,-957.558412093,855.9402614159,-1049.8601981412,1055.8828050888
1943,886.1666666667,265.8950276672,714.4643698122,-89.8638230743,-842.1478107078,476.2396442681,-593.993702224,-38.5671967764,-139.6567987167,845.3349604583,524.2442421048,-881.5984655236,-275.8231789232,-747.3199865778,657.6190712178,-885.3270200576,875.0927606165
1944,898.25,-285.3325061095,524.6680564353,96.6004780674,-799.4173328722,573.8240797803,-668.4401401487,41.4656840226,-210.6851243533,851.7267305053,729.0929248432,-893.0405422696,-409.6156618142,-691.070899376,600.0340336497,-897.292404709,873.1923275409
1945,988.6666666667,-804.9173730904,301.3858005799,308.2642058479,-798.5711842465,721.8938105123,-800.6972969313,133.9401783374,-306.5461359671,574.081701742,941.6094609692,-939.38009196,-582.8772095981,-675.522837602,579.9531157471,-979.5518395699,939.942149444
1946,1180.25,-1180.2077864886,-4.9911169495,593.0042822784,-832.7962826287,956.0144264575,-1022.9573223403,264.0204241837,-452.8146695545,-9.982144641,1180.239446575,-1020.4587123933,-836.3255431588,-692.1173880963,588.6835985234,-1150.3405052913,1089.9307030891
1947,891.6666666667,-717.0838034707,-278.9889959148,598.4370439395,-522.6395777304,782.0716837166,-815.0692635058,276.526005071,-405.6162930046,-529.9625111689,846.8970330583,-661.0163000149,-722.4384515198,-428.2911696184,361.56816803,-847.7044372681,794.0685532709
1948,1101,-332.0282394683,-650.6296597702,892.4117399555,-497.9245648655,1024.3166118009,-1047.5558041677,433.8513851662,-576.1883607307,-1049.741991251,888.1903207237,-644.8273306782,-981.9735880886,-403.7034540213,338.8625638138,-1011.9159923578,938.1939953754
1949,1346,425.5287618385,-1091.89690755,1230.9974029854,-413.5352236737,1304.2137167517,-1316.935553552,639.0971636749,-792.1797740839,-1276.9656506141,787.0687030258,-544.3908465828,-1280.8999253576,-332.7800790865,278.2027098912,-1184.5973220393,1088.1944704566
