Year,annual_Mean_haryana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1940,314.75,256.5426856208,299.8452707641,-209.799153755,-311.0014963573,59.6193045771,-128.5170783507,-96.8195795626,24.2882844344,-182.3551835141,-95.7098537269,-234.6313653025,48.4317226981,-309.0519390357,287.3167643424,-299.4887836185,313.8114748368
1941,319.4166666667,319.4005345545,319.4126336132,-158.7807144135,-319.4156584017,99.3156076451,-160.1714712668,-70.6297105319,-0.4012833387,3.2102135088,1.6051270213,-277.1564389921,-0.802566044,-303.5842832271,276.355037473,-311.5099531871,319.4164146004
1942,665.5833333333,534.635483773,631.9990668581,-203.622032755,-657.1336314609,284.5632433899,-392.0929368848,-88.426373748,-53.0282035237,396.4417650826,208.754288822,-633.6712407769,-105.7192698332,-601.6850788598,537.8329689189,-659.6832194598,663.4675449802
1943,356.25,106.8931016811,287.2235453213,-36.1263723568,-338.5538734978,191.4542485655,-238.7928415467,-15.5044918393,-56.143766646,339.8351472596,210.7526927777,-354.4135264353,-110.8843417243,-300.4319110983,264.3710296649,-355.9124516406,351.7981523073
1944,419.1666666667,-133.1498752881,244.8353579989,45.0784307152,-373.0465891407,267.7739234897,-311.9263294321,19.3498831648,-98.3158155207,397.4566707897,340.2298369015,-416.7356830519,-191.1463752598,-322.4869305002,280.0047489803,-418.7198066321,407.4735511208
1945,607.0833333333,-494.2534611399,185.0636848638,189.287317903,-490.3566315944,443.2734667551,-491.6621551032,82.244959473,-188.2323500101,352.5105526964,578.1882099764,-576.8192826979,-357.9113681661,-414.7997194816,356.1158503218,-601.4864422847,577.1644098701
1946,354.9166666667,-354.9039725097,-1.5008943789,178.3241713072,-250.4327732624,287.4860864423,-307.61669391,79.3944070182,-136.1673146673,-3.0017619167,354.9134931133,-306.8653291028,-251.494068228,-208.1287831605,177.0248849899,-345.9224890232,327.7564685771
1947,435.8333333333,-350.499840388,-136.3656494051,292.5070784863,-255.4584104233,382.2649444708,-398.39366805,135.1617763104,-198.2591787302,-259.0377507863,413.950605878,-323.0948830914,-353.1171122849,-209.3423193555,176.7291139062,-414.3452529824,388.1288349165
1948,541,-163.1492075861,-319.7008591605,438.5056778528,-244.6659306015,503.319970013,-514.7390463713,213.1821974341,-283.1225278432,-515.8132763549,436.4313928352,-316.8497601243,-482.5138157638,-198.3683638742,166.5073996578,-497.2266592784,461.0017724778
1949,458.3333333333,144.8989716513,-371.8073917487,419.1732117644,-140.8149907259,444.1044726432,-448.436450256,217.6222387451,-269.7491801301,-434.8260945008,268.0087832245,-185.3733070954,-436.1657744841,-113.3166440673,94.732225384,-403.37328326,370.5466559876
1950,468.4166666667,380.9251064671,-446.0077590312,458.4125277791,-72.4455168325,464.8069292457,-465.9089191203,258.4503749948,-304.5320066114,-272.5990404865,143.1476597611,-96.2918895148,-462.7805318961,-58.0404353563,48.4050895599,-390.6629970655,355.9135155629
1951,296.4166666667,296.409681695,-296.4149204186,296.415890556,0.5087322634,296.4163872668,-296.416472639,185.0399616207,-209.7780219655,2.0349140684,-1.0174630283,0.6783094255,-296.4162301044,0.4069858826,-0.3391549348,-231.5665193443,209.4182937998
1952,440.8333333333,354.9377116319,-418.8092658491,430.9990335049,69.6740377853,437.2845149812,-438.367864003,304.94131024,-335.4464682341,261.4445421868,-137.5966083037,92.5951450974,-435.292495038,55.8236574883,-46.5579594396,-318.347019912,286.0239408284
1953,493.0833333333,149.447554007,-398.0083364073,450.0367141345,153.1011045044,477.4391007938,-482.2016055235,371.615483353,-399.1383072051,469.8899894788,-291.0679263701,201.4897752794,-468.7123055891,123.2196357902,-103.0183733207,-324.0881147827,289.5164681543
1954,461.9166666667,-145.3336915988,-270.402433945,373.1628828103,210.3135944227,429.2779812556,-439.168055473,373.9275111946,-394.0268781663,438.4576661785,-374.4990395997,272.2434018249,-411.2605001036,170.5503496143,-143.1727138686,-271.1922257667,241.0597980316
1955,541.8333333333,-440.1261378656,-165.9945010298,361.8062155554,319.0940357505,474.5199899144,-494.7838057708,465.357989469,-482.9488306998,316.0258595093,-515.7801728827,403.335621408,-437.9067908351,261.5609685766,-220.8446210755,-277.5343271533,245.6497263113
1956,574.0833333333,-574.0753539692,1.5134100465,286.1674551077,406.4729370421,464.0870902472,-496.9183233343,517.4186769709,-530.5285158302,-3.0268095752,-574.0813384888,497.6744530798,-405.4027936059,337.927279569,-287.4784401406,-248.6957706371,219.3425802303
1957,511.6666666667,-412.452064761,159.3185561097,157.3099156303,414.3191839154,372.6417330444,-413.6985725996,479.1672910152,-486.7217344376,-302.7970806534,-486.2307841519,486.884347892,-300.2372255692,350.6293150486,-301.0917946521,-179.4477221894,157.812328428
1958,581.1666666667,-177.0263754881,342.6899953967,59.8553285464,518.1286986692,370.0342743032,-431.5904402428,560.3253432694,-565.1875012571,-553.5488748304,-469.3807212695,578.0761490401,-263.2438908311,448.1398557208,-389.2099514857,-154.2407343554,135.3432039937
1959,445.9166666667,139.6252816004,361.3190513693,-47.2490728142,424.2404156848,238.6089502837,-298.1379920094,438.7996210044,-440.4642696284,-423.4931573817,-261.3239689136,443.4063584674,-137.3380621339,376.7060424995,-331.5952522757,-79.3509055875,69.5190678291
1960,642.6666666667,521.4344617574,611.608122848,-199.4093532959,634.8545495078,273.1690638327,-377.4034313965,640.1122803627,-640.710660749,-375.6681335119,-197.372613376,610.9470961242,-99.9006777442,581.7208153481,-520.1798673677,-57.2425800723,50.1028307291
1961,530.4166666667,530.4130755178,530.4157688787,-265.7715765754,530.4164422197,163.5364608655,-264.926562028,530.4165933779,-530.4166105549,1.9518190267,0.9759111652,459.0286585415,0.4879557891,504.5767198805,-459.5168734767,0.278831906,-0.2439779203
