Year,annual_Mean_punjab,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1935,466.4166666667,-380.5912413937,-141.4751016453,-456.6073683292,-275.2800043762,-197.5803690659,47.8289673363,-321.7465905407,211.1271239127,269.6197580277,-444.4426875975,95.1536553788,376.5174977808,-422.5003014251,463.9578610478,-337.673863987,415.8964348162
1936,525.5833333333,-525.5477094704,3.0596820573,-525.5793750866,-372.7237302429,-161.2497638743,-1.0198991398,-327.0119184478,200.4251228318,-6.1192604216,-525.5744272921,-2.0397944391,370.5601991466,-500.2362980914,525.5823437707,-411.4620826647,485.8678939955
1937,468.9166666667,-376.2160006184,147.4260616735,-458.2984236559,-380.1403541441,-86.8227566442,-49.8952458582,-257.691323918,144.2717792,-279.9006272885,-445.1386262921,-99.2239646071,274.5471752341,-460.8086904633,466.2545492739,-391.7627111597,446.1709246514
1938,412.0833333333,-123.0197165845,244.0474326183,-375.8394223814,-367.6823038548,-24.9695767688,-86.4161779938,-194.7025878366,95.6475933596,-393.2922869096,-332.044461245,-168.9893552717,186.0709462628,-411.326140486,402.9204856942,-363.18531895,400.8294044798
1939,335.25,106.9995765934,272.2720795022,-270.5192213652,-319.1173586262,21.7656537723,-104.1657178186,-131.2908250497,52.0022500502,-317.7163091641,-195.6028558675,-198.0199822542,102.7456759355,-334.5427010351,318.6566580684,-308.4724975711,331.1922832581
1940,480.3333333333,391.5043791153,457.5875405571,-320.1700614889,-474.6128210229,90.9837626641,-196.1272013804,-147.7543173415,37.0658383584,-278.2883976105,-146.0607881604,-358.065975537,73.9106300322,-471.6376427328,438.468051276,-457.0435130466,478.9010698859
1941,447.4166666667,447.3940699251,447.4110174456,-222.4089892215,-447.4152543592,139.1144005862,-224.3570647617,-98.9331896285,-0.5620898109,4.4966439679,2.2483503723,-388.2214768977,-1.1241787347,-425.2397643221,387.0989293484,-436.3414919545,447.4163135897
1942,683.9166666667,549.361889987,649.4073296237,-209.2307528259,-675.2342197822,292.4014697009,-402.8930428213,-90.8620570114,-54.4888526755,407.3616584492,214.5043756557,-651.1255631723,-108.631281773,-618.2583500942,552.6474490945,-677.8540355712,681.7425994308
1943,353.8333333333,106.1679788861,285.2751282887,-35.8813045677,-336.2572507302,190.1554945987,-237.1729602824,-15.3993151695,-55.762908346,337.5298328104,209.3230253881,-352.009317718,-110.1321438506,-298.3938934558,262.5776355455,-353.4980747756,349.4116853091
1944,542.5,-172.3271745777,316.8743897758,58.3420644048,-482.8098002596,346.5622747351,-403.7058458455,25.0432881517,-127.2437294313,514.4021723341,440.3372243,-539.353736912,-247.3882510818,-417.3737410648,362.3918321792,-541.9216582852,527.366365367
