Year,Mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1939,1731,552.4720867507,1405.8254127319,-1396.7748610983,-1647.7021559491,112.3828387167,-537.8399926739,-677.8953561852,268.5037877312,-1640.4681019031,-1009.9583698932,-1022.438745062,530.5078748526,-1727.3479955012,1645.3234157091,-1592.7394281748,1710.048746666
1940,1825,1487.4992891438,1738.5786152325,-1216.4684848383,-1803.2652290774,345.6877866661,-745.1744813029,-561.3843771304,140.8296079198,-1057.3414135447,-554.9499064386,-1360.4519195456,280.8193611565,-1791.9612033049,1665.9351705318,-1736.5116127207,1819.5581940496
1941,1130.5,1130.4429041914,1130.4857259578,-561.966911488,-1130.4964314838,351.5041829674,-566.8891675464,-249.9772118644,-1.4202477882,11.3617940154,5.6809687374,-980.929885564,-2.8404933349,-1074.4650107642,978.0935137903,-1102.5160513791,1130.4991078706
1942,2601.5,2089.6770417463,2470.2324864376,-795.8773780576,-2568.473482778,1112.2443135277,-1532.5350323864,-345.6234550726,-207.2661146366,1549.5328687054,815.9373217034,-2476.7683478873,-413.2144942597,-2351.7471881615,2102.1747369114,-2578.4388061972,2593.2302265174
1943,2109.25,632.8821746553,1700.564948685,-213.8934761927,-2004.4765127726,1133.5435053667,-1413.8211958803,-91.7974720337,-332.4104976791,2012.0625525822,1247.8038378704,-2098.3767877439,-656.5131165812,-1778.7677431135,1565.2620191456,-2107.2514768362,2082.8919375553
1944,1413,-448.844788347,825.3336640613,151.958224892,-1257.53041063,902.6589754852,-1051.4955948012,65.2279560522,-331.4200731547,1339.816164992,1146.9059869785,-1404.8052170631,-644.3494908361,-1087.0951080637,943.8887721092,-1411.4936463723,1373.5828097025
1945,2073,-1687.7212215945,631.9346911013,646.3570789507,-1674.4147656201,1513.6404610843,-1678.8727207065,280.8408526906,-642.7546930477,1203.7134535177,1974.3321772647,-1969.6577181049,-1222.1555517501,-1416.4115060845,1216.024419026,-2053.8883648972,1970.8362196198
1946,1945.25,-1945.1804250515,-8.2261980478,977.3705402263,-1372.5879845656,1575.6721568027,-1686.0052796292,435.1499514029,-746.3145400982,-16.4522489835,1945.2326061851,-1681.8871512672,-1378.4047979916,-1140.7255659346,970.2493285555,-1895.9541350713,1796.3886466291
1947,1891.5,-1521.1559038484,-591.8217036704,1269.4695348915,-1108.6797322734,1659.0152408411,-1729.0132843977,586.5969404768,-860.4372540764,-1124.2139325712,1796.5297996595,-1402.2194371718,-1532.5147637939,-908.5376605607,766.9975960695,-1798.2425530009,1684.4643011348
1948,2354.25,-709.9704657295,-1391.2305872062,1908.2291905453,-1064.7038209215,2190.2791855879,-2239.9711643614,927.697205747,-1232.0539947777,-2244.6458518644,1899.2025999671,-1378.8235633507,-2099.7378017779,-863.2323856763,724.5841878826,-2163.7631471465,2006.1246263511
1949,2097.25,663.0313490088,-1701.3230232982,1918.060403723,-644.3437948362,2032.1413205479,-2051.9636624717,995.7997968181,-1234.3232029699,-1989.6851491459,1226.3594631655,-848.2345490311,-1995.8152811711,-518.516360226,433.477439316,-1845.762803601,1695.5541256799
