Year,Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1919,6248.75,2032.0588260424,5086.487203942,5722.8764028942,5951.0950033642,-3999.5060068243,6115.8687234556,-5064.2803570017,6173.8878133949,-5909.1127498131,-3629.6727795538,-2509.0959008569,-1905.6087802678,4801.1278116581,-1281.8058823229,3660.5929885999,-964.3577293276
1920,5742,4701.2191540304,5475.6261916991,5623.0974418278,5675.0158410676,-4198.8739055873,5712.1970165154,-4936.2416025374,5725.2294696113,-3296.832186475,-1728.6068982793,-1162.4711436031,-874.5051192714,3916.634004471,-584.2681272434,2933.2716957997,-438.5333742088
1921,6663.25,6662.3516476798,6663.0254081349,6663.1501810818,6663.1938517972,-5403.5161762058,6663.2250452237,-6010.1463441168,6663.2359629345,109.4124543083,54.7080711474,36.4722750877,27.3542660757,3898.8348895512,18.2362058409,2876.9847905054,13.6771618507
1922,7000.5,5596.5337214817,6640.2384959892,6839.6113625242,6909.84767709,-6145.4142656352,6960.1616214478,-6559.7532799558,6977.8001158484,4205.4501012755,2216.8069303356,1492.218703686,1122.9449360561,3352.7427210759,750.4335102624,2444.7161708691,563.2990265088
1923,8123.75,2388.1199985484,6534.3631633353,7403.9276793993,7716.1793269288,-7562.6746262994,7941.7558369677,-7835.846600551,8021.2101914124,7764.8050159057,4826.739283631,3343.2273300997,2540.8444771724,2966.6928656716,1709.9205503444,2143.5536184413,1286.6627870896
1924,7471.25,-2418.3536031586,4344.6203634438,6021.6492412317,6643.768563582,-7242.2393456419,7099.6064488129,-7354.1133594867,7261.4334825557,7069.0269777806,6078.1453141604,4422.5916585272,3417.5891847998,1835.6322678949,2327.0506729493,1317.7986410374,1758.1695995891
1925,7173.75,-5866.8862516079,2165.0766516486,4773.1978971989,5787.6768954506,-7119.873920157,6546.1598467167,-7146.2453225669,6818.4322315045,4128.2362787508,6839.234763845,5355.3030630092,4238.5711290915,877.5445422136,2934.3619960282,627.588123048,2229.7244150076
1926,6266.5,-6265.8110720612,-46.4605581557,3106.3875733139,4414.6277964466,-6266.4724423977,5419.1881300695,-6266.4859399938,5785.0361855581,-92.9185623804,6266.3277656484,5442.3688311581,4447.4805979162,-18.584366284,3146.6525484893,-13.2745568765,2408.8126913033
1927,6930.75,-5547.3963043446,-2189.4838005982,2109.8139079785,4053.4263723117,-6873.5492128321,5597.2264696554,-6901.546224888,6169.6264227423,-4154.7189802734,6575.823617572,6601.8164800455,5621.8351280296,-888.6038382063,4087.3403834143,-635.5747542459,3157.6898781072
1928,7703.75,-2276.3779786086,-4572.2596825746,769.0098155373,3473.0547456718,-7456.2548121468,5712.7936873716,-7577.1432843852,6561.3759821957,-7359.746419613,6200.1778569331,7665.2715520135,6876.4565581458,-1937.0152913277,5168.3413536673,-1390.9218922703,4036.8439755291
1929,7995.75,2576.0757698675,-6501.1412805529,-872.5462589542,2444.4342564814,-7426.0650183582,5336.4480842817,-7703.3752426141,6460.5380297914,-7569.4023337646,4654.8018338906,7947.9985586615,7612.9336807988,-2964.0473015147,5954.3547010794,-2142.4350477856,4710.9942080329
1930,5980.25,4885.3225685607,-5699.9491380685,-1873.6767729482,915.496922323,-5232.7038012625,3504.164275621,-5594.8392828442,4540.8309004092,-3449.2047581452,1809.4114750195,5679.1482999667,5909.7593392385,-2895.2031000869,4846.0522894374,-2112.1466477599,3891.5607147247
1931,8086.5,8085.7916970902,-8086.3229223337,-4074.1076231111,-26.7576021742,-6529.5108161067,4027.7916378403,-7279.0376105996,5708.5509063167,107.0274790266,-53.5149113795,6985.2078942082,8086.4557304623,-4770.4266845164,7012.0165981081,-3522.3704679486,5727.4714141575
1932,6136.5,4917.5283516724,-5823.7893583147,-4125.7172892526,-979.5276547148,-4462.4487635886,2483.8647411344,-5262.0541095642,3977.7984361228,3670.7692872882,-1933.9363381407,4542.5861686007,6057.8179094166,-4212.2658133535,5611.3321232796,-3157.121916876,4672.6600402318
1933,9062.75,2691.7342308293,-7298.2173153089,-7354.224847782,-2827.6773673975,-5759.2007428455,2782.43924671,-7322.3194094814,5315.3976568606,8653.7855527556,-5373.0309491967,5296.1131455782,8610.3239351611,-6997.5027235513,8625.0489506361,-5340.1382030835,7340.2987208928
1934,6842.75,-2194.2816895756,-3988.0011616822,-6262.5034442813,-3125.2465993422,-3652.3280148891,1408.9858266044,-5145.1737823201,3566.3669465474,6481.3853017155,-5560.4922710963,2757.5855694547,6087.3689929066,-5786.5125623433,6696.1172706971,-4511.1433486674,5839.8847903939
1935,6048.25,-4935.3102928548,-1834.5759160827,-5921.0480946871,-3569.6886613578,-2562.1199940022,620.2213007502,-4172.2433079963,2737.7873014939,3496.2895154351,-5763.3028092084,1233.903368543,4882.4840935198,-5478.7652987543,6016.365480969,-4378.7799489562,5393.1297735433
1936,7257.25,-7256.7581060181,42.2480626804,-7257.1953445643,-5146.5659577716,-2226.5353078359,-14.0827582664,-4515.3776663816,2767.4683164819,-84.4946935689,-7257.1270254626,-28.1654635032,5116.6919396038,-6907.2583624373,7257.2363361282,-5681.4647840537,6708.8595662578
1937,7028,-5638.6267332777,2209.5831415138,-6868.8565589905,-5697.4439145357,-1301.2767023893,-747.8168570629,-3862.2099687124,2162.3075831902,-4195.0771819796,-6671.6209680061,-1487.1427544164,4114.8410468353,-6906.4797794404,6988.1008828073,-5871.6367528636,6687.0927850358
