Year,Mean_pen,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1917,1929.5,-1540.6863326739,612.460599184,1299.522673977,1566.000155831,-827.7146477916,1764.9928115206,-1336.9265781008,1836.37789557,-1161.5747390124,-1829.7164437276,-1426.2577150781,-1127.2150468909,1742.9454127514,-779.5964502746,1391.2575515582,-592.1878710866
1918,1010.75,-295.588816305,601.18598055,821.1413624307,902.5697458759,-544.5495123397,962.1809067366,-762.815444359,983.3330903473,-966.5623695217,-812.5213715898,-589.3576379462,-454.9543013639,851.5171114608,-309.5536548187,663.1200195646,-233.8195798644
1919,1655.75,538.4407123376,1347.7817464176,1516.4076981944,1576.8794641841,-1059.7610835446,1620.5400502279,-1341.8975316832,1635.913542233,-1565.7553007406,-961.7652658126,-664.8426545859,-504.9348650415,1272.1692137072,-339.6439431336,969.9582861971,-255.5287554046
1920,1509.25,1235.6870442738,1439.2352542358,1477.9971811353,1491.6436186227,-1103.6486314886,1501.4164658962,-1297.4612745785,1504.8419674348,-866.5524168299,-454.3538769119,-305.5485150615,-229.8583857994,1029.4635791097,-153.5713464023,770.9927389212,-115.26584727
1921,1653,1652.7771393261,1652.9442838926,1652.9752372083,1652.9860709145,-1340.4888364189,1652.9938092905,-1490.9799132293,1652.996517725,27.1427286942,13.5718217997,9.047937676,6.7859680821,967.2118069153,4.523985781,713.7141573114,3.3929911889
1922,1442.75,1153.4031892962,1368.5028340959,1409.5920710352,1424.0672432143,-1266.5233100129,1434.4365658659,-1351.9154409908,1438.0717258968,866.7113968453,456.8671093124,307.5349667514,231.4304416106,690.9748676283,154.6586596573,503.8374766833,116.0916606665
1923,1713.5,503.7136319449,1378.2589666564,1561.6716514726,1627.5332545552,-1595.155312776,1675.1129252678,-1652.7740452432,1691.8718157237,1637.7896162184,1018.0788136639,705.1694143869,535.9270055867,625.7489737287,360.6645776907,452.1285274903,271.3890365506
1924,2091.75,-677.0742712942,1216.3773993955,1685.9005923167,1860.0773488871,-2027.6331472306,1987.6997542987,-2058.9548763201,2033.0069917532,1979.1383210002,1701.7179803774,1238.2072747832,956.8334853344,513.9278964523,651.5118949495,368.9483429667,492.2404229467
1925,1576,-1288.8953103376,475.645346297,1048.6230891773,1271.4938194431,-1564.1639725621,1438.1248187385,-1569.957501776,1497.9402957799,906.9315734882,1502.5104008113,1176.5056807531,931.1710192644,192.7876213318,644.6495216226,137.8747352394,489.8478031785
1926,1640,-1639.8197012975,-12.1591503032,812.9698588103,1155.3482145013,-1639.992787925,1418.2507832624,-1639.9963203686,1513.9965442137,-24.3176322196,1639.9549247049,1424.3173834037,1163.9460912124,-4.8636975514,823.5075687421,-3.4740721739,630.4081726223
1927,1751.25,-1401.7065653765,-553.2350042633,533.1041527031,1024.2128102314,-1736.7966033939,1414.2975659177,-1743.8708402893,1558.9306024352,-1049.807252347,1661.5678116038,1668.1356434267,1420.5156394275,-224.5308908356,1032.7821442779,-160.5959367129,797.8796521351
1928,1443,-426.3914876693,-856.4362449398,144.0442854221,650.5426575375,-1396.641336223,1070.0712368492,-1419.2851220987,1229.0203527254,-1378.564216583,1161.3638354768,1435.7925490255,1288.0385284315,-362.8249963181,968.0891219655,-260.5354912278,756.1467930149
