Year,Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1953,2863.75,867.9677528224,-2311.5694576029,2613.7420451634,889.1869961627,2772.8907721447,-2800.5506462423,2158.2839421033,-2318.1321492487,2729.0467278082,-1690.4764728258,1170.2207415035,-2722.2069260722,715.6401527686,-598.3144159483,-1882.2525037197,1681.4658489305
1954,2805.75,-882.7782901751,-1642.4642880199,2266.6464191484,1277.4758092403,2607.4978082076,-2667.5715785172,2271.2908847933,-2393.3774059137,2663.2565691077,-2274.7624326684,1653.6465986001,-2498.0569687871,1035.947992272,-869.6521925386,-1647.2616000972,1464.2327872856
1955,3102.25,-2519.9285964818,-950.3963841641,2071.5103024426,1826.9630373556,2716.8495331505,-2832.8693844098,2664.3927828306,-2765.1086005017,1809.3962891344,-2953.0834352364,2309.2856318295,-2507.2217936666,1497.5592398033,-1264.4390508734,-1589.0142105406,1406.4599140864
1956,3467.75,-3467.7018006564,9.1417523971,1728.5943256494,2455.2995106886,2803.3177654899,-3001.6348075066,3125.4671802571,-3204.6571533231,-18.2834412621,-3467.7379501432,3006.2022087399,-2448.8353099611,2041.2495114976,-1736.513329884,-1502.2466400815,1324.9387126033
1957,2592.25,-2089.6003873808,807.1534731116,796.9771246759,2099.0597482175,1887.9098354742,-2095.9155533968,2427.5988471676,-2465.8718229885,-1534.0568058445,-2463.3845281125,2466.6956693608,-1521.0878462184,1776.3886161592,-1525.4173381503,-909.1335983951,799.5224919236
1958,2962.5,-902.3928374823,1746.8639713725,305.1128376576,2641.1636417677,1886.2515703293,-2200.0344351351,2856.2612493873,-2881.0461241307,-2821.7181675108,-2392.6705823244,2946.7460708885,-1341.8870546378,2284.3951635893,-1983.9996810029,-786.2429174553,689.9126615968
1959,3546,1110.32236641,2873.2663565435,-375.7321148176,3373.6270170473,1897.4561862212,-2370.8405598919,3489.404125019,-3502.6416746828,-3367.6847005992,-2078.08961413,3526.0376313781,-1092.134034745,2995.6261484656,-2636.8979956706,-631.0109763708,552.8266444149
1960,2848.75,2311.3637286274,2711.0767219342,-883.9222954382,2814.1212104412,1210.8771326662,-1672.9170516452,2837.4271660008,-2840.0796081047,-1665.224992752,-874.8940337472,2708.1465872673,-442.8299622259,2578.5951857719,-2305.8024852131,-253.739315323,222.0909321152
1961,4691,4690.9682399134,4690.9920599716,-2350.4813179232,4690.9980149925,1446.3149183095,-2343.0080172315,4690.9993518343,-4690.9995037481,17.261869073,8.6309491453,4059.6451290838,4.3154763988,4462.4717542048,-4063.9628973686,2.4659867478,-2.1577384277
1962,2236.25,1804.7358822018,2125.6357494963,-1498.2043585329,2208.4233071709,417.5546737112,-908.4202127129,2227.151003203,-2229.282472362,1320.5084089068,694.6126423865,1660.1800392045,351.682468776,2196.9210629793,-2043.4252566792,201.5253617589,-176.390818694
